City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
359,Alyangula,AU,78.21,-13.8483,136.4192,Groote Eylandt Lodge
364,Hambantota,LK,75.54,6.1241,81.1185,Bungalow 63
365,Itoman,JP,80.4,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
369,Enshi,CN,81.61,30.3,109.4833,Moevenpick Enshi
374,Pasighat,IN,76.1,28.0667,95.3333,Siang Guest House
376,San Jose,US,84.92,37.3394,-121.895,The Westin San Jose
377,Abrau-Dyurso,RU,76.46,44.69,37.59,Avgustin Inn
379,Nuevo Progreso,MX,85.53,23.1667,-97.95,Balneario Rio el Paraiso
380,Gillette,US,88.72,44.2911,-105.5022,National 9 Inn - Gillette WY
384,Cascais,PT,78.15,38.6979,-9.4215,Hotel Vila Galé Cascais
386,Manali,IN,83.07,13.1667,80.2667,Sarathy Lodge
387,Tual,ID,79.32,-5.6667,132.75,Grand Vilia Hotel
390,Gerash,IR,77.14,27.6652,54.1371,Sa'adat House Gerash
393,Verkhoyansk,RU,79.86,67.5447,133.385,
396,Akyab,MM,83.52,20.15,92.9,Hotel Memory
399,Alofi,NU,80.49,-19.0595,-169.9187,Taloa Heights
400,Matara,LK,76.77,5.9485,80.5353,Amaloh Boutique Resort
401,Ingham,US,80.55,42.6,-84.3833,Sunset Mobile Home Park
403,Zavetnoye,RU,77.74,47.1194,43.8903,
404,Ust-Nera,RU,76.28,64.5667,143.2,Hotel Ust-Nera
407,Moussoro,TD,78.69,13.6408,16.4901,Hôtel Salama
408,Puertollano,ES,82.15,38.6871,-4.1073,Hotel Puertollano
409,Zhangzhou,CN,87.73,24.5133,117.6556,Crowne Plaza Zhangzhou
410,Barao De Melgaco,BR,75.51,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
415,Quincy,US,82.0,42.2529,-71.0023,Marriott Boston Quincy
416,Madisonville,US,78.66,37.3281,-87.4989,Days Inn by Wyndham Madisonville
417,Eureka,US,79.66,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
419,Sola,VU,86.67,-13.8833,167.55,Leumerus Bungalows
423,Alihe,CN,76.24,50.5667,123.7167,Alihe Forestry Hotel
424,Bubaque,GW,79.21,11.2833,-15.8333,"Casa Dora, Bubaque"
426,Padang,ID,80.02,-0.9492,100.3543,Mercure Padang
428,Guane,CU,79.18,22.2025,-84.0875,base de Campismo LosPortales de Guane
431,Hobyo,SO,75.13,5.3505,48.5268,Iftin hotel hobyo
432,Veraval,IN,81.32,20.9,70.3667,Lords Inn Somnath
434,Le Vauclin,MQ,82.45,14.5452,-60.8388,Hôtel Cap Macabou
435,Santa Rosa,PH,84.11,14.3122,121.1114,Erlyn’s Sta Rosa City Home
436,Vostok,RU,77.16,46.4856,135.8833,
445,Kavaratti,IN,78.71,10.5669,72.642,Green leaf
449,Deyang,CN,77.99,31.1302,104.382,Milletholly Resort Hotel
450,Pacific Grove,US,75.02,36.6177,-121.9166,Lovers Point Inn
451,Rodrigues Alves,BR,79.16,-7.738,-72.6509,Pousada Aconchego
453,Lompoc,US,77.85,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
458,Islamkot,PK,81.46,24.6997,70.177,Haji Hotel
460,Rajpipla,IN,77.58,21.8667,73.5,Lal Tower Govt. Guest House
463,Southbridge,US,77.07,42.0751,-72.0334,Southbridge Hotel & Conference Center
